id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
22,蜀山栖镇,崇州,['48'],['9928'],1室1厅1厨1卫,高楼层 (共4层),48.35㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,一梯一户,暂无数据,70年,2020-01-14,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
23,西蜀御景二期,崇州,['77'],['5975'],3室2厅1厨2卫,高楼层 (共13层),128.88㎡,暂无数据,暂无数据,暂无数据,东南,未知结构,其他,一梯一户,暂无数据,70年,2019-12-25,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片
24,嘉裕第六洲,崇州,['245'],['15349'],4室2厅1厨3卫,低楼层 (共4层),159.62㎡,151.54㎡,南,钢混结构,精装,暂无数据,70年,"
                              ","
                              ","
                                                          ",2019-10-21,商品房,2017-11-23,别墅,满两年,非共有,有抵押,已上传房本照片
25,西蜀御景二期,崇州,['57'],['6064'],2室2厅1厨1卫,中楼层 (共18层),94㎡,平层,暂无数据,暂无数据,东南,未知结构,毛坯,两梯四户,有,70年,2020-01-02,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 20万元,未上传房本照片
26,西蜀御景二期,崇州,['88'],['6838'],3室2厅1厨2卫,中楼层 (共18层),128.7㎡,平层,暂无数据,塔楼,东南,框架结构,毛坯,两梯四户,有,70年,2019-06-26,商品房,2004-02-03,普通住宅,满五年,非共有,无抵押,未上传房本照片
27,嘉裕第六洲,崇州,['121'],['9669'],3室2厅1厨2卫,中楼层 (共9层),125.15㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯两户,暂无数据,70年,2019-12-14,商品房,2019-08-02,普通住宅,未满两年,共有,有抵押,已上传房本照片
28,嘉裕第六洲,崇州,['105'],['8390'],3室2厅1厨2卫,高楼层 (共9层),125.15㎡,平层,暂无数据,板楼,东南,框架结构,毛坯,一梯两户,暂无数据,70年,2019-12-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
29,嘉裕第六洲,崇州,['102'],['8195'],3室2厅1厨2卫,低楼层 (共9层),124.48㎡,平层,暂无数据,板楼,东南,框架结构,毛坯,一梯两户,有,70年,2019-08-10,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
30,嘉裕第六洲,崇州,['120'],['11236'],3室2厅1厨2卫,低楼层 (共7层),106.8㎡,暂无数据,暂无数据,板楼,东南,框架结构,毛坯,两梯两户,有,70年,2019-09-10,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片
31,青城神韵一期,崇州,['75'],['9869'],3室2厅1厨1卫,低楼层 (共1层),76㎡,暂无数据,暂无数据,暂无数据,北,未知结构,其他,一梯一户,暂无数据,70年,2019-10-17,商品房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片
32,康怡城邦,崇州,['25'],['6160'],1室1厅1厨1卫,高楼层 (共7层),40.59㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,一梯十八户,暂无数据,70年,2019-11-23,商品房,2018-04-30,商业办公类,未满两年,共有,无抵押,未上传房本照片
33,青城山居,崇州,['60'],['12270'],1室1厅1厨1卫,高楼层 (共6层),48.9㎡,平层,暂无数据,板楼,南,钢混结构,精装,二十梯十八户,有,70年,2019-09-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
34,康怡城邦,崇州,['24.9'],['5929'],1室1厅1厨1卫,高楼层 (共7层),42㎡,暂无数据,暂无数据,板楼,东南,钢混结构,其他,一梯二十二户,暂无数据,70年,2020-01-13,商品房,暂无数据,商业办公类,暂无数据,非共有,有抵押,未上传房本照片
35,青城山居,崇州,['52'],['10624'],1室1厅1厨1卫,高楼层 (共6层),48.95㎡,暂无数据,暂无数据,板楼,西,钢混结构,其他,二十梯十八户,有,70年,2019-12-31,商品房,2017-08-31,普通住宅,满两年,共有,无抵押,已上传房本照片
36,嘉裕第六洲,崇州,['430'],['22752'],4室4厅2厨3卫,低楼层 (共3层),189㎡,暂无数据,东南,框架结构,精装,联排,70年,"
                              ","
                              ","
                                                          ",2019-12-13,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片
37,西蜀御景二期,崇州,['70'],['7443'],2室2厅1厨1卫,高楼层 (共18层),94.06㎡,暂无数据,74.61㎡,暂无数据,北,未知结构,其他,两梯四户,有,70年,2019-07-14,商品房,2018-05-07,普通住宅,未满两年,共有,有抵押 暂时还在沟通,已上传房本照片
38,嘉裕第六洲,崇州,['440'],['23656'],5室2厅1厨5卫,低楼层 (共1层),186㎡,暂无数据,东南,未知结构,精装,暂无数据,70年,"
                              ","
                              ","
                                                          ",2019-10-09,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片
39,锦乡美郡,崇州,['165'],['11316'],3室2厅1厨2卫,低楼层 (共6层),145.82㎡,暂无数据,暂无数据,暂无数据,南 北,未知结构,简装,一梯一户,无,70年,2019-11-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
40,嘉裕第六洲,崇州,['500'],['19304'],5室2厅1厨3卫,低楼层 (共1层),259.02㎡,248㎡,东南,框架结构,毛坯,暂无数据,70年,"
                              ","
                              ","
                                                          ",2019-06-20,商品房,2019-04-22,别墅,未满两年,非共有,无抵押,已上传房本照片
41,青城山居,崇州,['45'],['10883'],1室1厅1厨1卫,中楼层 (共6层),41.35㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯十八户,暂无数据,70年,2019-11-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
42,嘉裕第六洲,崇州,['97'],['7751'],3室2厅1厨2卫,高楼层 (共9层),125.15㎡,平层,暂无数据,板楼,东,框架结构,毛坯,一梯两户,暂无数据,70年,2019-10-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 崇州农业银行 业主自还,未上传房本照片
43,嘉裕第六洲,崇州,['320'],['20000'],4室2厅1厨2卫,低楼层 (共1层),160㎡,暂无数据,南,框架结构,毛坯,叠拼,70年,"
                              ","
                              ","
                                                          ",2019-09-01,商品房,暂无数据,别墅,暂无数据,共有,无抵押,未上传房本照片
44,康怡城邦,崇州,['145'],['7436'],4室1厅1厨3卫,低楼层 (共3层),195㎡,暂无数据,南,钢混结构,简装,联排,70年,"
                              ","
                              ","
                                                          ",2019-06-02,商品房,2019-07-14,别墅,未满两年,非共有,无抵押,已上传房本照片
45,嘉裕第六洲,崇州,['280'],['14878'],4室2厅2厨3卫,低楼层 (共3层),188.2㎡,暂无数据,暂无数据,板楼,南,框架结构,毛坯,一梯五户,暂无数据,70年,2019-12-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
46,愿景河之洲芬芳园二期,崇州,['125'],['10594'],3室2厅1厨2卫,高楼层 (共32层),118㎡,暂无数据,暂无数据,暂无数据,西南,未知结构,简装,一梯五户,暂无数据,70年,2019-11-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
47,龙泽台,崇州,['118'],['9378'],3室2厅1厨2卫,中楼层 (共7层),125.83㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯两户,有,70年,2019-11-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 51万元 农业银行崇州支行 客户偿还,未上传房本照片
48,青城神韵一期,崇州,['66'],['10083'],2室1厅1厨1卫,低楼层 (共3层),65.46㎡,暂无数据,暂无数据,暂无数据,南 北,钢混结构,其他,一梯一户,暂无数据,70年,2019-12-05,商品房,2010-03-19,普通住宅,满五年,共有,无抵押,已上传房本照片
49,青城神韵一期,崇州,['52'],['7854'],2室1厅1厨1卫,低楼层 (共5层),66.21㎡,暂无数据,暂无数据,暂无数据,南,未知结构,其他,一梯两户,暂无数据,70年,2020-01-14,商品房,2011-06-17,普通住宅,满五年,共有,暂无数据,已上传房本照片
50,嘉裕第六洲,崇州,['450'],['18596'],4室2厅1厨5卫,低楼层 (共9层),242㎡,暂无数据,暂无数据,板楼,南,框架结构,毛坯,一梯两户,有,70年,2019-04-29,商品房,2018-06-14,普通住宅,未满两年,共有,无抵押,已上传房本照片
51,嘉裕第六洲,崇州,['220'],['15501'],3室2厅1厨2卫,中楼层 (共4层),141.93㎡,暂无数据,东南,钢混结构,毛坯,暂无数据,70年,"
                              ","
                              ","
                                                          ",2018-07-20,商品房,2018-10-11,别墅,未满两年,共有,无抵押,已上传房本照片
52,嘉裕第六洲,崇州,['180'],['11167'],4室2厅1厨4卫,高楼层 (共9层),161.2㎡,跃层,暂无数据,板楼,南,框架结构,毛坯,一梯两户,暂无数据,70年,2019-08-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
53,康怡城邦,崇州,['24.9'],['5929'],1室1厅1厨1卫,高楼层 (共7层),42㎡,暂无数据,暂无数据,板楼,东南,钢混结构,其他,一梯二十二户,暂无数据,70年,2020-01-13,商品房,暂无数据,商业办公类,暂无数据,非共有,有抵押,未上传房本照片
54,青城山居,崇州,['148'],['13641'],2室2厅1厨2卫,低楼层 (共1层),108.5㎡,暂无数据,暂无数据,板楼,东南 南,钢混结构,毛坯,一梯八户,暂无数据,70年,2019-09-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片
55,西蜀御景二期,崇州,['72'],['7347'],2室2厅1厨1卫,高楼层 (共18层),98㎡,平层,暂无数据,暂无数据,东,未知结构,毛坯,一梯四户,有,70年,2019-05-25,商品房,2019-05-30,普通住宅,未满两年,共有,无抵押,已上传房本照片
56,郡源山外山,崇州,['128'],['13883'],2室2厅1厨1卫,低楼层 (共1层),92.2㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,一梯一户,暂无数据,70年,2019-09-17,商品房,2017-02-28,普通住宅,满两年,共有,无抵押,已上传房本照片
57,东篱路25号,崇州,['54'],['6049'],2室2厅1厨1卫,低楼层 (共3层),89.28㎡,暂无数据,暂无数据,板塔结合,南,砖混结构,其他,一梯两户,暂无数据,70年,2019-11-24,商品房,2018-01-02,普通住宅,满两年,共有,无抵押,已上传房本照片
58,嘉裕第六洲,崇州,['300'],['16484'],5室3厅1厨4卫,低楼层 (共9层),182㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,两梯两户,有,70年,2019-07-06,商品房,2012-12-04,普通住宅,满五年,共有,有抵押,未上传房本照片
59,嘉裕第六洲,崇州,['102'],['8107'],3室2厅1厨2卫,高楼层 (共4层),125.83㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,一梯一户,暂无数据,70年,2019-12-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 40万元 建设银行 客户偿还,未上传房本照片
638,橙郡二期,高新西,['12'],['4000'],地下室 (共0层),30㎡,东,"
                              ","
                              ","
                                                          ","
                              ","
                              ","
                                                          ","
                              ","
                              ","
                                                          ",2019-08-29,商品房,暂无数据,车库,暂无数据,非共有,无抵押,未上传房本照片
1328,林庭叠院,高新西,['20'],['6250'],地下室 (共0层),32㎡,东南,"
                              ","
                              ","
                                                          ","
                              ","
                              ","
                                                          ","
                              ","
                              ","
                                                          ",2019-07-21,商品房,暂无数据,车库,暂无数据,非共有,无抵押,未上传房本照片
1407,橙郡一期,高新西,['18'],['6000'],地下室 (共0层),30㎡,北,"
                              ","
                              ","
                                                          ","
                              ","
                              ","
                                                          ","
                              ","
                              ","
                                                          ",2018-08-04,商品房,2011-03-30,车库,满五年,非共有,无抵押,已上传房本照片
