id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
[1],金色夏威夷,青羊,84,22926,1室0厅0厨1卫,低楼层 (共15层),36.64㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,其他,三梯二十八户,有,70年,2020-01-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],槐树街2号,青羊,220,18187,3室2厅1厨2卫,中楼层 (共8层),120.97㎡,暂无数据,暂无数据,塔楼,东南,钢混结构,简装,一梯两户,无,70年,2020-01-09,已购公房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],天越,青羊,150,28302,1室1厅1厨1卫,中楼层 (共31层),53㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,四梯十四户,有,70年,2019-10-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],西大街99号,青羊,132,16500,3室1厅1厨1卫,中楼层 (共7层),80㎡,暂无数据,暂无数据,板楼,东南,钢混结构,其他,两梯两户,有,70年,2020-01-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],花样年华新街坊二期,青羊,125,26602,1室1厅1厨1卫,中楼层 (共25层),46.99㎡,平层,暂无数据,塔楼,南,钢混结构,精装,三梯十三户,有,70年,2020-01-09,商品房,2020-01-10,普通住宅,未满两年,非共有,无抵押,已上传房本照片
[1],米兰小筑,青羊,62,13708,1室0厅1厨1卫,中楼层 (共17层),45.23㎡,平层,暂无数据,塔楼,东,钢混结构,简装,三梯二十四户,有,70年,2019-11-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],凤栖桐,青羊,155,24421,2室1厅1厨1卫,中楼层 (共32层),63.47㎡,平层,暂无数据,塔楼,东,钢混结构,其他,三梯十户,有,70年,2020-01-09,商品房,2018-03-14,普通住宅,未满两年,非共有,有抵押,已上传房本照片
[1],新城市广场,青羊,200,23313,3室1厅1厨1卫,低楼层 (共30层),85.79㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,三梯十五户,有,70年,2019-10-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],东马棚街14号,青羊,125,20432,2室1厅1厨1卫,中楼层 (共7层),61.18㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,一梯四户,无,70年,2019-11-30,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],凤栖桐,青羊,185,24504,2室1厅1厨1卫,低楼层 (共32层),75.5㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,三梯十户,有,70年,2020-01-08,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],万和苑,青羊,315,18229,4室2厅1厨2卫,高楼层 (共29层),172.81㎡,暂无数据,暂无数据,板楼,东南 西北,砖混结构,精装,三梯八户,有,70年,2019-10-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],锦城华府,青羊,215,27113,2室2厅1厨1卫,中楼层 (共32层),79.3㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,简装,四梯十七户,有,70年,2019-11-01,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],时代凯悦,青羊,80,15687,1室1厅1厨1卫,中楼层 (共40层),51㎡,暂无数据,暂无数据,板塔结合,东南,框架结构,其他,六梯二十一户,有,70年,2019-08-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],西城公寓,青羊,195,14234,4室2厅1厨2卫,高楼层 (共7层),137㎡,暂无数据,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,70年,2019-03-23,已购公房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],王家塘街82号,青羊,200,22472,3室1厅1厨1卫,高楼层 (共7层),89㎡,暂无数据,暂无数据,板楼,北,砖混结构,精装,一梯两户,无,未知,2019-07-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元 邮政 客户偿还,未上传房本照片
[1],凤栖桐,青羊,171,24964,2室2厅1厨1卫,中楼层 (共32层),68.5㎡,平层,暂无数据,塔楼,东南,钢混结构,简装,三梯十户,有,70年,2018-05-24,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 8万元 业主自还,未上传房本照片
[1],正黄金域国际,青羊,128,24913,1室1厅1厨1卫,低楼层 (共27层),51.38㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,精装,三梯二十户,有,70年,2019-07-04,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],西城角巷13号,青羊,182,16945,3室1厅1厨1卫,低楼层 (共7层),107.41㎡,暂无数据,92.07㎡,板塔结合,东南,钢混结构,其他,一梯四户,有,未知,2019-08-30,商品房,2013-09-02,普通住宅,满五年,非共有,暂无数据,已上传房本照片
[1],红墙国际,青羊,280,30821,3室1厅1厨1卫,中楼层 (共38层),90.85㎡,暂无数据,暂无数据,板塔结合,东南 南,钢混结构,精装,两梯四户,有,70年,2019-06-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],新城市广场,青羊,98,21199,1室1厅1厨1卫,中楼层 (共30层),46.23㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,其他,四梯二十三户,有,70年,2019-12-26,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],天越,青羊,136,25661,1室1厅1厨1卫,高楼层 (共31层),53㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯十四户,有,70年,2019-02-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],正黄金域国际,青羊,120,23914,1室1厅1厨1卫,低楼层 (共27层),50.18㎡,暂无数据,36.74㎡,板塔结合,东南,钢混结构,精装,三梯二十户,有,70年,2018-04-17,商品房,2014-07-11,普通住宅,满五年,非共有,有抵押 15万元 业主自还,已上传房本照片
[1],四川电视台职工宿舍,青羊,188,21782,3室1厅1厨1卫,低楼层 (共18层),86.31㎡,暂无数据,暂无数据,板塔结合,东南,钢混结构,其他,两梯六户,有,70年,2019-12-13,已购公房,暂无数据,普通住宅,暂无数据,暂无数据,暂无数据,未上传房本照片
[1],罗马国际,青羊,138,20894,1室1厅1厨1卫,高楼层 (共20层),66.05㎡,暂无数据,暂无数据,板楼,东北,钢混结构,简装,四梯二十一户,有,70年,2019-05-02,商品房,2013-05-09,普通住宅,满五年,非共有,无抵押,已上传房本照片
[1],新城市广场,青羊,76,25000,1室0厅1厨1卫,高楼层 (共30层),30.4㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,四梯二十三户,有,70年,2019-03-13,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],天越,青羊,214.2,23800,2室1厅1厨1卫,高楼层 (共31层),90㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,精装,四梯十四户,有,70年,2019-03-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 32万元 银行 业主自还,未上传房本照片
[1],新城市广场,青羊,130,24003,1室1厅1厨1卫,高楼层 (共30层),54.16㎡,暂无数据,暂无数据,板塔结合,东,钢混结构,其他,四梯十七户,有,70年,2019-10-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片
[1],天越,青羊,230,26553,2室1厅1厨1卫,低楼层 (共31层),86.62㎡,平层,暂无数据,板塔结合,东南,钢混结构,其他,四梯十四户,有,70年,2020-01-20,商品房,2020-02-01,普通住宅,未满两年,共有,暂无数据,已上传房本照片
[1],东马棚街16号,青羊,130,17912,3室1厅1厨1卫,高楼层 (共6层),72.58㎡,暂无数据,暂无数据,板楼,东,砖混结构,其他,三梯三户,有,70年,2020-01-22,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片
[1],东马棚街12号,青羊,105,24138,1室1厅1厨1卫,高楼层 (共6层),43.5㎡,暂无数据,暂无数据,板楼,西南,砖混结构,简装,一梯四户,无,70年,2019-07-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],华润峰锦,青羊,65,13542,1室1厅1厨1卫,中楼层 (共26层),48㎡,暂无数据,暂无数据,板楼,东南,钢混结构,其他,四梯十九户,有,40年,2018-08-19,商品房,暂无数据,商业办公类,暂无数据,非共有,暂无数据,未上传房本照片
[1],王家塘街81号,青羊,110,20371,2室1厅1厨1卫,高楼层 (共7层),54㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,一梯五户,无,70年,2019-07-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片
[1],洛阳路211号,青羊,236,22438,3室1厅1厨1卫,低楼层 (共7层),105.18㎡,暂无数据,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,70年,2018-03-22,商品房,2017-02-03,普通住宅,满两年,共有,无抵押,已上传房本照片
[1],天合凯旋城,青羊,330,21711,3室2厅1厨2卫,中楼层 (共28层),152㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯三户,有,70年,2019-05-08,商品房,2008-05-01,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片
[1],双玺,青羊,168,20927,3室2厅1厨1卫,高楼层 (共18层),80.28㎡,平层,62.28㎡,板塔结合,东,钢混结构,精装,三梯十一户,有,70年,2019-11-17,商品房,2013-04-08,普通住宅,满五年,共有,有抵押 50万元 还在落实 业主自还,已上传房本照片
